time,concentration
1.8,2.807e-06
3.8,2.802e-06
5.8,2.791e-06
7.8,2.786e-06
9.8,2.766e-06
11.8,2.756e-06
13.8,2.746e-06
15.8,2.756e-06
17.8,2.761e-06
19.8,2.716e-06
21.8,2.651e-06
23.8,2.632e-06
25.8,2.632e-06
27.8,2.691e-06
29.8,2.832e-06
31.8,2.858e-06
33.8,2.736e-06
35.8,2.627e-06
37.8,2.583e-06
39.8,2.563e-06
41.8,2.553e-06
43.8,2.548e-06
45.8,2.544e-06
47.8,2.544e-06
49.8,2.544e-06
51.8,2.553e-06
53.8,2.558e-06
55.8,2.558e-06
57.8,2.548e-06
59.8,2.544e-06
61.8,2.539e-06
63.8,2.534e-06
65.8,2.519e-06
67.8,2.51e-06
69.8,2.5e-06
71.8,2.49e-06
73.8,2.481e-06
75.8,2.481e-06
77.8,2.471e-06
79.8,2.466e-06
81.8,2.452e-06
83.8,2.447e-06
85.8,2.438e-06
87.8,2.428e-06
89.8,2.423e-06
91.8,2.409e-06
93.8,2.4e-06
95.8,2.39e-06
97.8,2.381e-06
99.8,2.371e-06
101.8,2.362e-06
103.8,2.352e-06
105.8,2.348e-06
107.8,2.338e-06
109.8,2.329e-06
111.8,2.32e-06
113.8,2.315e-06
115.8,2.305e-06
117.8,2.296e-06
119.8,2.291e-06
121.8,2.282e-06
123.8,2.278e-06
125.8,2.264e-06
127.8,2.254e-06
129.8,2.245e-06
131.8,2.236e-06
133.8,2.236e-06
135.8,2.227e-06
137.8,2.213e-06
139.8,2.208e-06
141.8,2.199e-06
143.8,2.19e-06
145.8,2.181e-06
147.8,2.176e-06
149.8,2.172e-06
151.8,2.162e-06
153.8,2.149e-06
155.8,2.144e-06
157.8,2.135e-06
159.8,2.126e-06
161.8,2.122e-06
163.8,2.117e-06
165.8,2.108e-06
167.8,2.099e-06
169.8,2.09e-06
171.8,2.081e-06
173.8,2.076e-06
175.8,2.068e-06
177.8,2.063e-06
179.8,2.054e-06
181.8,2.045e-06
183.8,2.041e-06
185.8,2.032e-06
187.8,2.023e-06
189.8,2.018e-06
191.8,2.014e-06
193.8,2.005e-06
195.8,1.996e-06
197.8,1.987e-06
199.8,1.978e-06
201.8,1.974e-06
203.8,1.965e-06
205.8,1.961e-06
207.8,1.956e-06
209.8,1.952e-06
211.8,1.939e-06
213.8,1.93e-06
215.8,1.926e-06
217.8,1.917e-06
219.8,1.912e-06
221.8,1.908e-06
223.8,1.899e-06
225.8,1.891e-06
227.8,1.886e-06
229.8,1.882e-06
231.8,1.873e-06
233.8,1.869e-06
235.8,1.865e-06
237.8,1.856e-06
239.8,1.847e-06
241.8,1.843e-06
243.8,1.834e-06
245.8,1.83e-06
247.8,1.826e-06
249.8,1.821e-06
251.8,1.821e-06
253.8,1.813e-06
255.8,1.808e-06
257.8,1.8e-06
259.8,1.796e-06
261.8,1.787e-06
263.8,1.783e-06
265.8,1.778e-06
267.8,1.766e-06
269.8,1.761e-06
271.8,1.757e-06
273.8,1.753e-06
275.8,1.744e-06
277.8,1.74e-06
279.8,1.736e-06
281.8,1.727e-06
283.8,1.723e-06
285.8,1.719e-06
287.8,1.715e-06
289.8,1.71e-06
291.8,1.706e-06
293.8,1.702e-06
295.8,1.698e-06
297.8,1.689e-06
299.8,1.685e-06
301.8,1.681e-06
303.8,1.677e-06
305.8,1.672e-06
307.8,1.672e-06
309.8,1.664e-06
311.8,1.66e-06
313.8,1.652e-06
315.8,1.647e-06
317.8,1.639e-06
319.8,1.631e-06
321.8,1.626e-06
323.8,1.618e-06
325.8,1.61e-06
327.8,1.606e-06
329.8,1.601e-06
331.8,1.593e-06
333.8,1.589e-06
335.8,1.585e-06
337.8,1.581e-06
339.8,1.572e-06
341.8,1.568e-06
343.8,1.564e-06
345.8,1.556e-06
347.8,1.552e-06
349.8,1.544e-06
351.8,1.544e-06
353.8,1.535e-06
355.8,1.527e-06
357.8,1.523e-06
359.8,1.519e-06
361.8,1.515e-06
363.8,1.507e-06
365.8,1.507e-06
367.8,1.499e-06
369.8,1.494e-06
371.8,1.49e-06
373.8,1.486e-06
375.8,1.482e-06
377.8,1.478e-06
379.8,1.474e-06
381.8,1.47e-06
383.8,1.466e-06
385.8,1.462e-06
387.8,1.458e-06
389.8,1.454e-06
391.8,1.45e-06
393.8,1.442e-06
395.8,1.442e-06
397.8,1.434e-06
399.8,1.43e-06
401.8,1.426e-06
403.8,1.422e-06
405.8,1.417e-06
407.8,1.413e-06
409.8,1.409e-06
411.8,1.405e-06
413.8,1.401e-06
415.8,1.393e-06
417.8,1.389e-06
419.8,1.385e-06
421.8,1.381e-06
423.8,1.377e-06
425.8,1.377e-06
427.8,1.369e-06
429.8,1.365e-06
431.8,1.361e-06
433.8,1.357e-06
435.8,1.353e-06
437.8,1.353e-06
439.8,1.349e-06
441.8,1.341e-06
443.8,1.337e-06
445.8,1.334e-06
447.8,1.33e-06
449.8,1.326e-06
451.8,1.322e-06
453.8,1.314e-06
455.8,1.314e-06
457.8,1.31e-06
459.8,1.306e-06
461.8,1.302e-06
463.8,1.298e-06
465.8,1.298e-06
467.8,1.294e-06
469.8,1.29e-06
471.8,1.286e-06
473.8,1.282e-06
475.8,1.282e-06
477.8,1.278e-06
479.8,1.274e-06
481.8,1.274e-06
483.8,1.27e-06
485.8,1.27e-06
487.8,1.266e-06
489.8,1.266e-06
491.8,1.262e-06
493.8,1.259e-06
495.8,1.259e-06
497.8,1.255e-06
499.8,1.251e-06
501.8,1.243e-06
503.8,1.239e-06
505.8,1.235e-06
507.8,1.231e-06
509.8,1.227e-06
511.8,1.223e-06
513.8,1.219e-06
515.8,1.216e-06
517.8,1.212e-06
519.8,1.208e-06
521.8,1.204e-06
523.8,1.2e-06
525.8,1.196e-06
527.8,1.188e-06
529.8,1.184e-06
531.8,1.181e-06
533.8,1.181e-06
535.8,1.173e-06
537.8,1.169e-06
539.8,1.169e-06
541.8,1.161e-06
543.8,1.157e-06
545.8,1.157e-06
547.8,1.154e-06
549.8,1.15e-06
551.8,1.142e-06
553.8,1.142e-06
555.8,1.138e-06
557.8,1.134e-06
559.8,1.13e-06
561.8,1.127e-06
563.8,1.123e-06
565.8,1.119e-06
567.8,1.115e-06
569.8,1.111e-06
571.8,1.107e-06
573.8,1.107e-06
575.8,1.104e-06
577.8,1.1e-06
579.8,1.096e-06
581.8,1.096e-06
583.8,1.092e-06
585.8,1.088e-06
587.8,1.085e-06
589.8,1.081e-06
591.8,1.077e-06
593.8,1.073e-06
595.8,1.069e-06
597.8,1.069e-06
599.8,1.066e-06
601.8,1.062e-06
603.8,1.058e-06
605.8,1.054e-06
607.8,1.054e-06
609.8,1.05e-06
611.8,1.047e-06
613.8,1.043e-06
615.8,1.043e-06
617.8,1.039e-06
619.8,1.035e-06
621.8,1.035e-06
623.8,1.031e-06
625.8,1.028e-06
627.8,1.024e-06
629.8,1.02e-06
631.8,1.02e-06
633.8,1.016e-06
635.8,1.013e-06
637.8,1.013e-06
639.8,1.009e-06
641.8,1.005e-06
643.8,1.001e-06
645.8,9.98e-07
647.8,9.98e-07
649.8,9.94e-07
651.8,9.9e-07
653.8,9.86e-07
655.8,9.83e-07
657.8,9.79e-07
659.8,9.79e-07
661.8,9.75e-07
663.8,9.71e-07
665.8,9.71e-07
667.8,9.71e-07
669.8,9.68e-07
671.8,9.64e-07
673.8,9.6e-07
675.8,9.56e-07
677.8,9.53e-07
679.8,9.53e-07
681.8,9.49e-07
683.8,9.45e-07
685.8,9.42e-07
687.8,9.42e-07
689.8,9.38e-07
691.8,9.34e-07
693.8,9.34e-07
695.8,9.3e-07
697.8,9.27e-07
699.8,9.27e-07
701.8,9.23e-07
703.8,9.19e-07
705.8,9.19e-07
707.8,9.16e-07
709.8,9.16e-07
711.8,9.12e-07
713.8,9.12e-07
715.8,9.08e-07
717.8,9.04e-07
719.8,9.04e-07
721.8,9.01e-07
723.8,8.97e-07
725.8,8.97e-07
727.8,8.93e-07
729.8,8.9e-07
731.8,8.9e-07
733.8,8.86e-07
735.8,8.82e-07
737.8,8.79e-07
739.8,8.79e-07
741.8,8.75e-07
743.8,8.71e-07
745.8,8.68e-07
747.8,8.68e-07
749.8,8.64e-07
751.8,8.6e-07
753.8,8.6e-07
755.8,8.57e-07
757.8,8.53e-07
759.8,8.49e-07
761.8,8.49e-07
763.8,8.46e-07
765.8,8.46e-07
767.8,8.42e-07
769.8,8.38e-07
771.8,8.38e-07
773.8,8.35e-07
775.9,8.31e-07
777.8,8.31e-07
779.8,8.27e-07
781.8,8.24e-07
783.8,8.24e-07
785.8,8.2e-07
787.8,8.2e-07
789.8,8.16e-07
791.8,8.13e-07
793.8,8.13e-07
795.8,8.09e-07
797.8,8.09e-07
799.8,8.05e-07
801.8,8.02e-07
803.8,8.02e-07
805.8,7.98e-07
807.8,7.95e-07
809.8,7.95e-07
811.8,7.95e-07
813.8,7.91e-07
815.8,7.87e-07
817.8,7.87e-07
819.8,7.84e-07
821.8,7.84e-07
823.8,7.8e-07
825.8,7.8e-07
827.8,7.76e-07
829.8,7.76e-07
831.8,7.73e-07
833.8,7.69e-07
835.8,7.69e-07
837.8,7.66e-07
839.8,7.66e-07
841.8,7.66e-07
843.8,7.62e-07
845.8,7.58e-07
847.8,7.58e-07
849.8,7.55e-07
851.8,7.55e-07
853.8,7.51e-07
855.8,7.51e-07
857.8,7.48e-07
859.8,7.48e-07
861.8,7.44e-07
863.8,7.44e-07
865.8,7.4e-07
867.8,7.4e-07
869.4,7.37e-07