Atom_Number,Symbol,Name,Atomic_Mass_amu,Electronegativity,Phase
1,H,Hydrogen,1.00794,2.20,gas
2,He,Helium,4.002602,5.5,gas
3,Li,Lithium,6.941,0.98,solid
4,Be,Beryllium,9.012182,1.57,solid
5,B,Boron,10.811,2.04,solid
6,C,Carbon,12.0107,2.55,solid
7,N,Nitrogen,14.006744,3.04,gas
8,O,Oxygen,15.9994,3.44,gas
9,F,Fluorine,18.998403,3.98,gas
10,Ne,,20.1797,0.99,gas
11,Na,Sodium,22.989769,0.93,solid
12,Mg,Magnesium,24.3050,1.31,solid
13,Al,Aluminum,26.981539,1.61,solid
14,Si,Silicon,28.0855,,solid
15,P,Phosphorus,30.973762,2.19,solid
16,S,Sulfur,32.065,2.58,solid
17,Cl,Chlorine,35.453,3.16,gas
18,Ar,Argon,39.948,0.98,gas